price,status,link,position,bedrooms,baths,sqft,housetype,housestyle,other,description
"$1,000",Temp Off Market, ,",-3212",2,1/0,829,Condo,R62-Condo/Co-Op/Annual,Residential Rental,"2/1 CONDO IN DEVONHUNT COMMUNITY LAUDERHILL, FRESH PAINT, TILE, WATER INCLUDED. NO PETS, SEC. 8 WELC..."
$875,Temp Off Market,6124 Johnson St #A," Hollywood, FL 33024-6030",1,1/0,676,Multifamily,R66-Duplex/Tri/Quad-Annual,Residential Rental,"1 bedroom 1 bath for immediately move in, freshly painted , ceramic floors, utilities are not includ..."
"$1,000",Rented,2150 Madison St #25," Hollywood, FL 33020-7021",1,1/0,750,Apartment,R64-Apartments-Annual,Residential Rental,"Conveniently located between Hallandale and Hollywood. 
Great rental! Perfect for single or couple...."
"$1,000",Rented,81 NE 7th Ct #2," Deerfield Beach, FL 33441-2070",2,1/0,"2,304",Apartment,R66-Duplex/Tri/Quad-Annual,Residential Rental,"freshly painted, Newer kitchen cabinets. Come take a look won't last long"
$995,Pending Sale,1814 E Oakland Park Blvd #55," Oakland Park, FL 33306-1130",1,1/0,588,Condo,R62-Condo/Co-Op/Annual,Residential Rental,"1/1 CONDO FOR RENT LOCATED A WALKING DISTANCE TO THE CORAL RIDGE MALL , JUST A BLOCK WEST OF FEDERAL..."
$985,Pending Sale, ,",",1,1/0,,Apartment,R64-Apartments-Annual,Residential Rental,"Nice corner unit ON THE SECOND FLOOR, freshly painted, close to everything, laundry on premises, 2 p..."
$975,Pending Sale,3600 NW 21st St #411," Lauderdale Lakes, FL 33311-9211",1,1/0,800,Condo,R62-Condo/Co-Op/Annual,Residential Rental,"This complex is in very central in fort lauderdale. Penthouse unit.  Within walking from shopping, b..."
$975,Pending Sale,1740 Funston St #12," Hollywood, FL 33020-6468",1,1/0,650,Apartment,R64-Apartments-Annual,Residential Rental,"1 /1. Approx 650SF. Kitchen has Granite counter top, wood cabinetry. Ceramic tile throughout. Centra..."
$860,Pending Sale,1611 NW 63rd Ave #1," Sunrise, FL 33313-4659",1,1/0,650,Multifamily,R64-Apartments-Annual,Residential Rental,"SEPARATE ENTRANCE 1 BEDROOM. NOT A FULL KITCHEN. RENOVATED UNIT, ATTACHED TO  A  SINGLE FAMILY HOUSE..."
$800,Pending Sale,2864 NW 6th Ct #1-4," Fort Lauderdale, FL 33311-7629",1,1/0,"2,072",Multifamily,R66-Duplex/Tri/Quad-Annual,Residential Rental,Completely remodeled unit with new floors and kitchen. Great proximity to downtown Fort Lauderdale. ...
$950,Cancelled,4215 N University Dr #102," Sunrise, FL 33351-6218",2,2/0,"1,252",Condo,R62-Condo/Co-Op/Annual,Residential Rental,"GREAT UNIT, HUGE MODEL, SUPER LOCATION AND EXCELLENT LANDLORD. THIS UNIT IS PRIVATE AND OFFERS YOU S..."
"$1,000",Active,2800 NW 56th Ave #D301," Lauderhill, FL 33313-2372",1,1/0,735,Condo,R62-Condo/Co-Op/Annual,Residential Rental,"HUGE 1 BED, 1 BATH IN QUIET COMMUNITY WITH POOL. EXTREMELY SPACIOUS WITH 2 WALK-IN CLOSETS. JUST REN..."
"$1,000",Active, ,",-5145",1,1/1,800,Condo,R62-Condo/Co-Op/Annual,Residential Rental,Nice first floor unit. large bedroom with walk in closet. 24 hour guard gated in great community. $4...
"$1,000",Active,420 SW 1st St #1," Dania Beach, FL 33004-3200",2,1/0,"6,318",Multifamily,R64-Apartments-Annual,Residential Rental,Well maintained 2 bedroom 1 bath in Dania Beach.  Located walking distance from Oakwood Plaza and so...
"$1,000",Active,2150 Madison St #21," Hollywood, FL 33020-7021",1,1/0,"26,112",Apartment,R64-Apartments-Annual,Residential Rental,"SPACIOUS ONE BEDROOM ONE BATH IN GREAT LOCATION!
OPEN LIVING ROOM AND KITCHEN!
PERFECT FOR SINGLE ..."
"$1,000",Active,4251 NW 5th St #232," Plantation, FL 33317-2108",1,1/0,588,Condo,R62-Condo/Co-Op/Annual,Residential Rental,Excellent 1/1 at sundance of Plantation
"$1,000",Active,5926 Thomas St #11," Hollywood, FL 33021-3272",1,1/0,"13,809",Apartment,R64-Apartments-Annual,Residential Rental,"HOLLYWOOD RENTAL, 1 BED / 1 BATH NICE  AND CLEAN UNIT, READY FOR NEW TENANT. CLOSE TO BARS, SHOPS, R..."
